name,rating,price
"APPLE iPhone 15 (Black, 128 GB)","2,659 Ratings","₹73,999"
"APPLE iPhone 14 (Midnight, 128 GB)","2,60,675 Ratings","₹59,999"
"APPLE iPhone 14 (Starlight, 128 GB)","2,60,675 Ratings","₹59,999"
"APPLE iPhone 14 (Blue, 128 GB)","2,60,675 Ratings","₹59,999"
"APPLE iPhone 15 (Blue, 128 GB)","2,659 Ratings","₹73,999"
"APPLE iPhone 15 (Green, 128 GB)","2,659 Ratings","₹73,999"
"APPLE iPhone 15 (Pink, 128 GB)","2,659 Ratings","₹73,999"
"APPLE iPhone 14 Plus (Blue, 128 GB)","58,235 Ratings","₹66,999"
"APPLE iPhone 15 Plus (Blue, 128 GB)","1,189 Ratings","₹82,999"
"APPLE iPhone 14 (Purple, 128 GB)","2,60,675 Ratings","₹59,999"
"APPLE iPhone 12 (Blue, 64 GB)","2,06,817 Ratings","₹42,999"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","58,235 Ratings","₹66,999"
"APPLE iPhone 15 Plus (Black, 128 GB)","1,189 Ratings","₹82,999"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","58,235 Ratings","₹66,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)","58,235 Ratings","₹66,999"
"APPLE iPhone 12 (White, 64 GB)","2,06,817 Ratings","₹42,999"
"APPLE iPhone 14 (Yellow, 128 GB)","2,60,675 Ratings","₹59,999"
"APPLE iPhone 12 (Black, 64 GB)","2,06,817 Ratings","₹42,999"
"APPLE iPhone 12 (Blue, 128 GB)","2,06,817 Ratings","₹48,999"
"APPLE iPhone 14 (Blue, 256 GB)","2,60,675 Ratings","₹68,999"
"APPLE iPhone 15 Plus (Pink, 128 GB)","1,189 Ratings","₹82,999"
"APPLE iPhone 14 (Starlight, 256 GB)","2,60,675 Ratings","₹68,999"
"APPLE iPhone 12 (Green, 64 GB)","2,06,817 Ratings","₹43,999"
"APPLE iPhone 15 (Yellow, 128 GB)","2,659 Ratings","₹73,999"
"APPLE iPhone 15 Pro (Natural Titanium, 128 GB)",408 Ratings,"₹73,999"
"APPLE iPhone 13 (Midnight, 128 GB)","2,75,754 Ratings","₹59,999"
"APPLE iPhone 15 Pro (Blue Titanium, 128 GB)",408 Ratings,"₹59,999"
"APPLE iPhone 15 (Pink, 256 GB)","2,659 Ratings","₹59,999"
"APPLE iPhone 13 (Pink, 128 GB)","2,75,754 Ratings","₹73,999"
"APPLE iPhone 15 Pro (Black Titanium, 256 GB)",408 Ratings,"₹73,999"
"APPLE iPhone 15 Plus (Pink, 256 GB)","1,189 Ratings","₹73,999"
"APPLE iPhone 15 Pro (White Titanium, 128 GB)",408 Ratings,"₹66,999"
"APPLE iPhone 14 (Purple, 256 GB)","2,60,675 Ratings","₹82,999"
"APPLE iPhone 11 (White, 64 GB)","2,04,458 Ratings","₹59,999"
"APPLE iPhone 15 Pro Max (Natural Titanium, 256 GB)",284 Ratings,"₹42,999"
"APPLE iPhone 15 Pro (Black Titanium, 128 GB)",408 Ratings,"₹66,999"
"APPLE iPhone 15 (Blue, 256 GB)","2,659 Ratings","₹82,999"
"APPLE iPhone 15 Plus (Yellow, 128 GB)","1,189 Ratings","₹66,999"
"APPLE iPhone 14 (Midnight, 256 GB)","2,60,675 Ratings","₹66,999"
"APPLE iPhone 15 Pro (White Titanium, 256 GB)",408 Ratings,"₹42,999"
"APPLE iPhone 15 Pro Max (White Titanium, 256 GB)",284 Ratings,"₹59,999"
"APPLE iPhone 15 Pro Max (Black Titanium, 256 GB)",284 Ratings,"₹42,999"
"APPLE iPhone 15 Pro (Blue Titanium, 256 GB)",408 Ratings,"₹48,999"
"APPLE iPhone 12 (White, 256 GB)","2,06,817 Ratings","₹68,999"
"APPLE iPhone 14 ((PRODUCT)RED, 512 GB)","2,60,675 Ratings","₹82,999"
"APPLE iPhone 15 Pro Max (Blue Titanium, 256 GB)",284 Ratings,"₹68,999"
"APPLE iPhone 15 Pro (Natural Titanium, 256 GB)",408 Ratings,"₹43,999"
"APPLE iPhone 14 (Blue, 512 GB)","2,60,675 Ratings","₹73,999"
"APPLE iPhone 15 Pro (Natural Titanium, 512 GB)",408 Ratings,"₹73,999"
"APPLE iPhone 13 Pro Max (Graphite, 1 TB)","2,053 Ratings","₹59,999"
"APPLE iPhone 13 Pro Max (Silver, 1 TB)","2,053 Ratings","₹59,999"
"APPLE iPhone 13 Pro Max (Sierra Blue, 1 TB)","2,053 Ratings","₹59,999"
"APPLE iPhone SE (White, 64 GB)","1,54,784 Ratings","₹73,999"
"APPLE iPhone 15 Pro (White Titanium, 512 GB)",408 Ratings,"₹73,999"
"APPLE iPhone 12 (Purple, 256 GB)","2,06,817 Ratings","₹73,999"
"APPLE iPhone 14 (Midnight, 512 GB)","2,60,675 Ratings","₹66,999"
"APPLE iPhone 15 Pro (Blue Titanium, 1 TB)",408 Ratings,"₹82,999"
"APPLE iPhone 13 Pro (Silver, 1 TB)","1,587 Ratings","₹59,999"
"APPLE iPhone 14 (Starlight, 512 GB)","2,60,675 Ratings","₹42,999"
"APPLE iPhone 13 (Starlight, 512 GB)","2,75,754 Ratings","₹66,999"
"APPLE iPhone 15 Pro Max (White Titanium, 1 TB)",284 Ratings,"₹82,999"
"APPLE iPhone 13 (Blue, 256 GB)","2,75,754 Ratings","₹66,999"
"APPLE iPhone 14 (Purple, 512 GB)","2,60,675 Ratings","₹66,999"
"APPLE iPhone 15 Plus (Pink, 512 GB)","1,189 Ratings","₹42,999"
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","2,053 Ratings","₹59,999"
"APPLE iPhone 12 (White, 128 GB)","2,06,817 Ratings","₹42,999"
"APPLE iPhone 15 Pro Max (Black Titanium, 512 GB)",284 Ratings,"₹48,999"
"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)","2,053 Ratings","₹68,999"
"APPLE iPhone 15 (Black, 512 GB)","2,659 Ratings","₹82,999"
"APPLE iPhone 15 Pro Max (White Titanium, 512 GB)",284 Ratings,"₹68,999"
"APPLE iPhone 11 (Red, 64 GB)","2,04,458 Ratings","₹43,999"
"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)","2,75,754 Ratings","₹73,999"
"APPLE iPhone 13 (Blue, 512 GB)","2,75,754 Ratings","₹73,999"
"APPLE iPhone 15 (Blue, 512 GB)","2,659 Ratings","₹59,999"
"APPLE iPhone 15 (Pink, 512 GB)","2,659 Ratings","₹59,999"
"APPLE iPhone 14 Plus (Starlight, 512 GB)","58,235 Ratings","₹59,999"
"APPLE iPhone 15 Plus (Green, 512 GB)","1,189 Ratings","₹73,999"
"APPLE iPhone 12 (Black, 256 GB)","2,06,817 Ratings","₹73,999"
"APPLE iPhone 15 Pro Max (Blue Titanium, 512 GB)",284 Ratings,"₹73,999"
"APPLE iPhone 15 Pro (Natural Titanium, 1 TB)",408 Ratings,"₹66,999"
"APPLE iPhone 15 Plus (Yellow, 512 GB)","1,189 Ratings","₹82,999"
"APPLE iPhone 15 (Black, 256 GB)","2,659 Ratings","₹59,999"
"APPLE iPhone 15 Pro (White Titanium, 1 TB)",408 Ratings,"₹42,999"
"APPLE iPhone 15 (Yellow, 512 GB)","2,659 Ratings","₹66,999"
"APPLE iPhone 12 (Blue, 256 GB)","2,06,817 Ratings","₹82,999"
"APPLE iPhone 15 Pro (Black Titanium, 1 TB)",408 Ratings,"₹66,999"
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)","1,103 Ratings","₹66,999"
"APPLE iPhone 15 Pro (Black Titanium, 512 GB)",408 Ratings,"₹42,999"
"APPLE iPhone 15 (Green, 512 GB)","2,659 Ratings","₹59,999"
"APPLE iPhone 13 (Green, 512 GB)","2,75,754 Ratings","₹42,999"
"APPLE iPhone 13 (Midnight, 512 GB)","2,75,754 Ratings","₹48,999"
"APPLE iPhone 15 Pro (Blue Titanium, 512 GB)",408 Ratings,"₹68,999"
"APPLE iPhone 6 Plus (Silver, 64 GB)","1,674 Ratings","₹82,999"
"APPLE iPhone 8 (Silver, 64 GB)","11,394 Ratings","₹68,999"
"APPLE iPhone 5s (Silver, 16 GB)","62,791 Ratings","₹43,999"
"APPLE iPhone XS Max (Space Grey, 64 GB)","1,454 Ratings","₹73,999"
"APPLE iPhone 14 (Yellow, 256 GB)","2,60,675 Ratings","₹73,999"
"APPLE iPhone 5s (Space Grey, 16 GB)","62,791 Ratings","₹59,999"
"APPLE iPhone 8 (Silver, 256 GB)","11,394 Ratings","₹59,999"
"APPLE iPhone 8 (Space Grey, 256 GB)","11,394 Ratings","₹59,999"
"APPLE iPhone 8 (Gold, 256 GB)","11,394 Ratings","₹73,999"
"APPLE iPhone 8 Plus (Silver, 64 GB)","3,443 Ratings","₹73,999"
"APPLE iPhone 8 Plus (Space Grey, 64 GB)","3,443 Ratings","₹73,999"
"APPLE iPhone 8 Plus (Space Grey, 256 GB)","3,443 Ratings","₹66,999"
"APPLE iPhone 8 Plus (Silver, 256 GB)","3,443 Ratings","₹82,999"
"APPLE iPhone 8 (Gold, 64 GB)","11,394 Ratings","₹59,999"
"APPLE iPhone 8 Plus (Gold, 64 GB)","3,443 Ratings","₹42,999"
"APPLE iPhone 6 (Gold, 32 GB)","1,45,607 Ratings","₹66,999"
"APPLE iPhone 7 Plus (Gold, 128 GB)","29,851 Ratings","₹82,999"
"APPLE iPhone 6s Plus (Space Grey, 16 GB)","18,839 Ratings","₹66,999"
"APPLE iPhone 6s Plus (Gold, 32 GB)","18,839 Ratings","₹66,999"
"APPLE iPhone 6 (Space Grey, 16 GB)","1,45,607 Ratings","₹42,999"
"APPLE iPhone 15 Plus (Green, 128 GB)","1,189 Ratings","₹59,999"
"APPLE iPhone 13 (Blue, 128 GB)","2,75,754 Ratings","₹42,999"
"APPLE iPhone 11 (Black, 64 GB)","2,04,458 Ratings","₹48,999"
"APPLE iPhone 11 (White, 128 GB)","2,04,458 Ratings","₹68,999"
"APPLE iPhone 13 (Starlight, 256 GB)","2,75,754 Ratings","₹82,999"
"APPLE iPhone 15 Pro Max (Natural Titanium, 1 TB)",284 Ratings,"₹68,999"
"APPLE iPhone 15 Pro Max (Natural Titanium, 512 GB)",284 Ratings,"₹43,999"
"APPLE iPhone 15 (Yellow, 256 GB)","2,659 Ratings","₹73,999"
